municipio,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,municipio_sidra
São Caetano do Sul (SP),0.862,0.891,0.811,0.887,São Caetano do Sul - SP
Águas de São Pedro (SP),0.854,0.849,0.825,0.89,Águas de São Pedro - SP
Florianópolis (SC),0.847,0.87,0.8,0.873,Florianópolis - SC
Vitória (ES),0.845,0.876,0.805,0.855,Vitória - ES
Balneário Camboriú (SC),0.845,0.854,0.789,0.894,Balneário Camboriú - SC
Santos (SP),0.84,0.861,0.807,0.852,Santos - SP
Niterói (RJ),0.837,0.887,0.773,0.854,Niterói - RJ
Joaçaba (SC),0.827,0.823,0.771,0.891,Joaçaba - SC
Brasília (DF),0.824,0.863,0.742,0.873,Brasília - DF
Curitiba (PR),0.823,0.85,0.768,0.855,Curitiba - PR
Jundiaí (SP),0.822,0.834,0.768,0.866,Jundiaí - SP
Valinhos (SP),0.819,0.848,0.763,0.85,Valinhos - SP
Vinhedo (SP),0.817,0.84,0.739,0.878,Vinhedo - SP
Araraquara (SP),0.815,0.788,0.782,0.877,Araraquara - SP
Santo André (SP),0.815,0.819,0.769,0.861,Santo André - SP
Santana de Parnaíba (SP),0.814,0.876,0.725,0.849,Santana de Parnaíba - SP
Nova Lima (MG),0.813,0.864,0.704,0.885,Nova Lima - MG
Ilha Solteira (SP),0.812,0.786,0.782,0.871,Ilha Solteira - SP
Americana (SP),0.811,0.8,0.76,0.876,Americana - SP
Belo Horizonte (MG),0.81,0.841,0.737,0.856,Belo Horizonte - MG
São José (SC),0.809,0.799,0.752,0.88,São José - SC
Joinville (SC),0.809,0.795,0.749,0.889,Joinville - SC
Maringá (PR),0.808,0.806,0.768,0.852,Maringá - PR
São José dos Campos (SP),0.807,0.804,0.764,0.855,São José dos Campos - SP
Blumenau (SC),0.806,0.812,0.722,0.894,Blumenau - SC
Rio Fortuna (SC),0.806,0.848,0.727,0.85,Rio Fortuna - SC
Presidente Prudente (SP),0.806,0.788,0.774,0.858,Presidente Prudente - SP
Assis (SP),0.805,0.771,0.781,0.865,Assis - SP
Porto Alegre (RS),0.805,0.867,0.702,0.857,Porto Alegre - RS
São Carlos (SP),0.805,0.788,0.766,0.863,São Carlos - SP
Campinas (SP),0.805,0.829,0.731,0.86,Campinas - SP
São Paulo (SP),0.805,0.843,0.725,0.855,São Paulo - SP
São Bernardo do Campo (SP),0.805,0.807,0.752,0.861,São Bernardo do Campo - SP
Jaraguá do Sul (SC),0.803,0.793,0.755,0.865,Jaraguá do Sul - SC
Rio Claro (SP),0.803,0.784,0.766,0.862,Rio Claro - SP
Rio do Sul (SC),0.802,0.793,0.727,0.894,Rio do Sul - SC
São Miguel do Oeste (SC),0.801,0.787,0.739,0.884,São Miguel do Oeste - SC
Bauru (SP),0.801,0.8,0.752,0.854,Bauru - SP
Pirassununga (SP),0.801,0.789,0.736,0.884,Pirassununga - SP
Taubaté (SP),0.8,0.778,0.746,0.883,Taubaté - SP
Concórdia (SC),0.8,0.777,0.756,0.872,Concórdia - SC
Vila Velha (ES),0.8,0.807,0.734,0.864,Vila Velha - ES
Ribeirão Preto (SP),0.8,0.82,0.739,0.844,Ribeirão Preto - SP
Botucatu (SP),0.8,0.79,0.746,0.869,Botucatu - SP
Rio de Janeiro (RJ),0.799,0.84,0.719,0.845,Rio de Janeiro - RJ
Goiânia (GO),0.799,0.824,0.739,0.838,Goiânia - GO
Marília (SP),0.798,0.768,0.776,0.854,Marília - SP
Sorocaba (SP),0.798,0.792,0.762,0.843,Sorocaba - SP
Guaratinguetá (SP),0.798,0.764,0.751,0.886,Guaratinguetá - SP
São João da Boa Vista (SP),0.797,0.776,0.749,0.871,São João da Boa Vista - SP
Fernandópolis (SP),0.797,0.767,0.758,0.872,Fernandópolis - SP
São José do Rio Preto (SP),0.797,0.801,0.748,0.846,São José do Rio Preto - SP
Itapema (SC),0.796,0.788,0.727,0.881,Itapema - SC
Carlos Barbosa (RS),0.796,0.835,0.724,0.835,Carlos Barbosa - RS
Tubarão (SC),0.796,0.788,0.74,0.866,Tubarão - SC
Treze Tílias (SC),0.795,0.838,0.685,0.874,Treze Tílias - SC
Brusque (SC),0.795,0.794,0.707,0.894,Brusque - SC
Itajaí (SC),0.795,0.778,0.73,0.884,Itajaí - SC
Paulínia (SP),0.795,0.8,0.727,0.864,Paulínia - SP
Iomerê (SC),0.795,0.754,0.749,0.891,Iomerê - SC
Holambra (SP),0.793,0.815,0.698,0.878,Holambra - SP
Ipiranga do Sul (RS),0.791,0.818,0.698,0.866,Ipiranga do Sul - RS
Saltinho (SP),0.791,0.771,0.75,0.857,Saltinho - SP
Três Arroios (RS),0.791,0.843,0.689,0.851,Três Arroios - RS
Nova Odessa (SP),0.791,0.755,0.762,0.861,Nova Odessa - SP
Quatro Pontes (PR),0.791,0.79,0.748,0.838,Quatro Pontes - PR
Chapecó (SC),0.79,0.779,0.727,0.871,Chapecó - SC
Adamantina (SP),0.79,0.772,0.75,0.852,Adamantina - SP
Votuporanga (SP),0.79,0.772,0.744,0.857,Votuporanga - SP
Santa Cruz da Conceição (SP),0.79,0.83,0.679,0.876,Santa Cruz da Conceição - SP
Luzerna (SC),0.789,0.781,0.718,0.877,Luzerna - SC
Lagoa dos Três Cantos (RS),0.789,0.765,0.754,0.852,Lagoa dos Três Cantos - RS
Uberlândia (MG),0.789,0.776,0.716,0.885,Uberlândia - MG
Cândido Rodrigues (SP),0.789,0.747,0.762,0.863,Cândido Rodrigues - SP
Barretos (SP),0.789,0.762,0.738,0.875,Barretos - SP
