cod_municipio,municipio,uf,total_domicilios,perc_agua_rede,perc_esgoto_rede,perc_lixo_coletado,perc_alfabetizacao,renda_media,per_domicilio_urbano,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,cluster,cluster_nome
1100015,Alta Floresta D'Oeste - RO,RO,7695,26.484730344379464,0.4678362573099415,61.48148148148148,91.59,1210.6,60.34707360193542,0.641,0.657,0.526,0.763,0,Crítico
1100023,Ariquemes - RO,RO,34768,54.337321675103546,1.9932121491026231,90.41647491946615,94.08,1458.57,86.6977166874929,0.702,0.716,0.6,0.806,3,Rural de Média Renda
1100031,Cabixi - RO,RO,1967,39.29842399593289,1.57600406710727,61.0574478901881,89.82,1323.79,53.18632031396001,0.65,0.65,0.559,0.757,3,Rural de Média Renda
1100049,Cacoal - RO,RO,31917,80.06704890810539,67.18989880001254,85.65654666791993,93.71,1625.88,82.75921599318656,0.718,0.727,0.62,0.821,1,Desenvolvido
1100056,Cerejeiras - RO,RO,5873,49.48067427209263,57.99421079516432,87.04239741188489,92.15,1554.33,88.83574575204531,0.692,0.688,0.602,0.799,4,Em Transição
1100064,Colorado do Oeste - RO,RO,5991,70.80620931397095,2.6205975630111835,77.24920714404941,90.47,1666.54,74.7557939092128,0.685,0.676,0.584,0.814,3,Rural de Média Renda
1100072,Corumbiara - RO,RO,2840,20.985915492957748,0.7042253521126761,47.88732394366197,91.52,1234.62,36.97300172895332,0.613,0.63,0.473,0.774,0,Crítico
1100080,Costa Marques - RO,RO,4161,19.346310982936792,0.0480653689017063,63.56645037250661,92.92,1088.06,52.82331511839708,0.611,0.616,0.493,0.751,0,Crítico
1100098,Espigão D'Oeste - RO,RO,10470,44.871060171919765,6.599808978032473,74.28844317096465,92.01,1371.66,72.93125722445095,0.672,0.691,0.536,0.819,3,Rural de Média Renda
1100106,Guajará-Mirim - RO,RO,11803,40.46428874015081,9.01465729051936,78.14115055494366,94.16,1035.94,80.57734785589153,0.657,0.663,0.519,0.823,4,Em Transição
1100114,Jaru - RO,RO,18947,46.11811896342429,1.7839235762917611,80.50350979046816,92.39,1406.29,78.68395564428455,0.689,0.687,0.577,0.825,3,Rural de Média Renda
1100122,Ji-Paraná - RO,RO,45016,59.954238492980274,7.566198684912032,93.16909543273503,94.37,1437.55,90.87128919916675,0.714,0.728,0.617,0.81,4,Em Transição
1100130,Machadinho D'Oeste - RO,RO,10841,40.3929526796421,3.1270178027857205,56.701411308919845,91.65,1047.39,54.170058944214674,0.596,0.629,0.446,0.755,0,Crítico
1100148,Nova Brasilândia D'Oeste - RO,RO,5798,36.11590203518455,7.002414625733011,49.49982752673336,91.36,981.78,46.6164933988137,0.643,0.664,0.524,0.763,0,Crítico
1100155,Ouro Preto do Oeste - RO,RO,13323,56.66141259476094,2.2292276514298583,80.19965473241763,92.81,1389.04,79.0463417418103,0.682,0.687,0.569,0.812,3,Rural de Média Renda
1100189,Pimenta Bueno - RO,RO,12351,76.35818962027366,9.440531131082505,85.7663347097401,93.24,1389.7,81.84383819379116,0.71,0.726,0.613,0.803,4,Em Transição
1100205,Porto Velho - RO,RO,151905,36.72229353872486,22.98871004904381,91.90151739574075,95.64,1459.81,92.58634245081814,0.736,0.764,0.638,0.819,3,Rural de Média Renda
1100254,Presidente Médici - RO,RO,7230,50.09681881051176,5.214384508990318,67.15076071922545,92.38,1164.63,64.06064055466446,0.664,0.671,0.55,0.792,3,Rural de Média Renda
1100262,Rio Crespo - RO,RO,1250,9.92,1.28,43.6,92.17,1244.38,41.42898300201672,0.643,0.637,0.513,0.813,0,Crítico
1100288,Rolim de Moura - RO,RO,20991,66.36177409365919,3.620599304463818,87.0611214329951,93.5,1446.88,83.79250434350955,0.7,0.709,0.598,0.808,4,Em Transição
1100296,Santa Luzia D'Oeste - RO,RO,2758,33.6113125453227,2.864394488759971,50.725163161711386,90.45,1110.56,43.88731634991239,0.67,0.657,0.564,0.812,3,Rural de Média Renda
1100304,Vilhena - RO,RO,34975,92.88348820586133,4.912080057183703,94.7819871336669,95.25,1650.51,94.23261541030136,0.731,0.734,0.659,0.808,1,Desenvolvido
1100320,São Miguel do Guaporé - RO,RO,7884,15.690005073566718,1.8138001014713343,55.720446473871135,92.68,1303.07,55.2854171481396,0.646,0.644,0.537,0.781,3,Rural de Média Renda
1100338,Nova Mamoré - RO,RO,8447,9.269563158517816,0.8168580561145968,49.22457677281875,90.69,1152.19,57.848608709322434,0.587,0.619,0.424,0.769,0,Crítico
1100346,Alvorada D'Oeste - RO,RO,4814,52.86663896967178,42.52181138346489,60.38637307852098,88.53,1223.18,59.08363192803232,0.643,0.654,0.534,0.763,4,Em Transição
1100379,Alto Alegre dos Parecis - RO,RO,4036,19.796828543111992,0.6194251734390486,44.821605550049554,90.79,1173.26,43.43583935882916,0.592,0.603,0.443,0.777,0,Crítico
1100403,Alto Paraíso - RO,RO,5762,8.799028115237764,0.1388406803193335,54.23464074973967,91.73,1185.26,49.98774509803921,0.625,0.664,0.457,0.804,0,Crítico
1100452,Buritis - RO,RO,9905,15.75971731448763,0.4543160020191822,69.58101968702675,92.46,1219.49,69.35553015147184,0.616,0.65,0.479,0.751,0,Crítico
1100502,Novo Horizonte do Oeste - RO,RO,2798,27.197998570407435,0.3216583273766976,46.0686204431737,90.03,1102.33,43.15899308725707,0.634,0.606,0.527,0.799,0,Crítico
1100601,Cacaulândia - RO,RO,1483,13.958192852326365,32.97370195549561,47.066756574511125,88.08,1187.1,46.55421686746988,0.646,0.664,0.506,0.801,0,Crítico
